Tanggal;Jenis Pintu Masuk;Provinsi Pintu Masuk;Nama Pintu Masuk;Benua;Kebangsaan;Jumlah Wisatawan Mancanegara
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Oseania;Papua Nugini;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Oseania;Oseania Lainnya;1
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Afrika;Afrika Selatan;47
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Afrika;Afrika Lainnya;11
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Malaysia;22
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Filipina;108
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Singapura;58
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Thailand;10
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Vietnam;1
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Hong Kong;33
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;India;7
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Jepang;14
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Korea Selatan;83
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Taiwan;8
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Tiongkok;11593
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Timor Leste;0
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Arab Saudi;1
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Kuwait;0
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Mesir;0
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Uni Emirat Arab;0
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Yaman;0
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Asia;Asia Lainnya;66
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Eropa;Prancis;57
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Eropa;Jerman;95
31/01/2020;Pintu Udara;Sulawesi Utara;Bandara Sam Ratulangi;Eropa;Belanda;27
